country,source,title,pub_date,description,url,language
United States,CNN,Angel Reese defends gesture directed towards Caitlin Clark after LSU national title win; calls out double standard after being 'unapologetically' her,Unknown,"LSU star Angel Reese defended the gesture she aimed at Iowa Hawkeyes' Caitlin Clark near the end of the Tigers' first NCAA women's basketball national championship victory on Sunday, saying ""I don't take disrespect lightly.""",https://www.cnn.com/2023/04/03/sport/angel-reese-gesture-caitlin-clark-lsu-iowa-spt-intl/index.html,en
United States,CNN,Teenage swimmer breaks two world records in four days,Unknown,Sixteen-year-old Summer McIntosh broke the world record for the 400m individual medley at the Canadian swimming trials on Saturday -- just days after breaking the world record for the 400m freestyle.,https://www.cnn.com/2023/04/03/sport/summer-mcintosh-world-record-canada-swimmer-spt-intl/index.html,en
United States,CNN,The haunting Masters meltdown that changed Rory McIlroy's career,Unknown,"Slumped on his club, head buried in his arm, Rory McIlroy looked on the verge of tears.",https://www.cnn.com/2023/04/03/golf/rory-mcilroy-masters-meltdown-2011-spt-spc-intl/index.html,en
United States,CNN,A snowboarder got buried upside down in snow. See skier's quick reaction.,Unknown,"Skier Francis Zuber sprang into action when he noticed a snowboarder had become trapped upside down in a tree well. Zuber, whose reaction has been applauded as a textbook example of what to do in such a situation, urged others to take up rescue courses.",https://www.cnn.com/videos/us/2023/03/31/snowboarder-rescue-mt-baker-washington-cprog-lon-orig-na.cnn,en
United States,CNN,2023 March Madness: Will UConn or San Diego State triumph in the national championship game that 'means everything?',Unknown,After a March Madness filled with twists and surprises -- all four No. 1 seeds failed to reach the Elite Eight for the first ever time in NCAA men's basketball tournament history -- it is time for the grand finale as UConn faces San Diego State on Monday for the title.,https://www.cnn.com/2023/04/03/sport/march-madness-championship-game-final-preview-spt-intl/index.html,en
United States,CNN,Shania Twain calls for equal pay and more diversity in country music,Unknown,Shania Twian is standing up for others in country music.,https://www.cnn.com/2023/04/03/entertainment/shania-twain-equal-diversity/index.html,en
Qatar,Al Jazeera,German court rejects Peruvian farmer s climate case against RWE,2025-05-28 11:14:03,Judge rules that companies &#039;may be obligated to take preventive measures&#039; to counter their emissions.,https://www.aljazeera.com/news/2025/5/28/german-court-rejects-peruvian-farmers-climate-case-against-rwe?traffic_source=rss,en
Qatar,Al Jazeera,"US-backed Gaza aid model  distraction from atrocities , UNRWA chief says",2025-05-28 11:05:35,Philippe Lazzarini&#039;s remarks come a day after a deadly incident at an aid distribution centre in Rafah.,https://www.aljazeera.com/news/2025/5/28/us-backed-gaza-aid-model-distraction-from-atrocities-unrwa-chief-says?traffic_source=rss,en
Qatar,Al Jazeera,Putin is  testing the waters  in Trump relationship,2025-05-28 10:35:10,"Mark Storella breaks down Trump s response to Russia s Ukraine attack, his Putin ties, and whether sanctions may finally",https://www.aljazeera.com/program/quotable/2025/5/28/putin-is-testing-the-waters-in-trump-relationship?traffic_source=rss,en
Qatar,Al Jazeera,"Gulf states, China take centre stage at summit of Southeast Asian nations",2025-05-28 10:10:40,"The GCC, China, ASEAN countries pledged to promote trade and work to &#039;unleash the full potential of our partnership&#039;.",https://www.aljazeera.com/news/2025/5/28/gulf-states-china-take-centre-stage-at-summit-of-southeast-asian-nations?traffic_source=rss,en
Qatar,Al Jazeera,Video: Families in Tel Aviv mark 600 days for Gaza captives,2025-05-28 10:09:47,"Families of captives held in Gaza lashed out at Israeli Prime Minister Benjamin Netanyahu, during a protest.",https://www.aljazeera.com/video/newsfeed/2025/5/28/video-families-in-tel-aviv-mark-600-days-for-gaza-captives?traffic_source=rss,en
